Program,Threads,Iterations,Execution Time (seconds)
TreeBarrier,32,50000,0.77
TreeBarrier,32,60000,0.93
TreeBarrier,32,70000,1.03
TreeBarrier,32,80000,1.18
TreeBarrier,32,90000,1.29
TreeBarrier,32,100000,1.42
TreeBarrier,32,200000,2.73
TreeBarrier,32,300000,4.0
TreeBarrier,32,400000,5.25
TreeBarrier,32,500000,6.58
TreeBarrier,32,600000,7.94
TreeBarrier,32,700000,9.19
TreeBarrier,32,800000,10.53
TreeBarrier,32,900000,11.74
TreeBarrier,32,1000000,13.26
TreeBarrier,32,2000000,26.1
TreeBarrier,32,3000000,39.91
TreeBarrier,32,4000000,53.42
TreeBarrier,32,5000000,66.08
TreeBarrier,32,6000000,79.14
TreeBarrier,32,7000000,93.58
TreeBarrier,32,8000000,106.15
TreeBarrier,32,9000000,120.2
TreeBarrier,32,10000000,130.76
TreeBarrier,64,1000,0.06
TreeBarrier,64,2000,0.07
TreeBarrier,64,3000,0.1
TreeBarrier,64,4000,0.13
TreeBarrier,64,5000,0.16
TreeBarrier,64,6000,0.2
TreeBarrier,64,7000,0.22
TreeBarrier,64,8000,0.26
TreeBarrier,64,9000,0.29
TreeBarrier,64,10000,0.32
TreeBarrier,64,20000,0.63
TreeBarrier,64,30000,0.96
TreeBarrier,64,40000,1.26
TreeBarrier,64,50000,1.56
TreeBarrier,64,60000,1.88
TreeBarrier,64,70000,2.17
TreeBarrier,64,80000,2.54
TreeBarrier,64,90000,2.84
TreeBarrier,64,100000,3.16
TreeBarrier,64,200000,6.35
TreeBarrier,64,300000,10.96
TreeBarrier,64,400000,12.59
TreeBarrier,64,500000,15.9
TreeBarrier,64,600000,18.96
TreeBarrier,64,700000,22.34
TreeBarrier,64,800000,25.36
TreeBarrier,64,900000,29.02
TreeBarrier,64,1000000,31.76
TreeBarrier,64,2000000,63.99
TreeBarrier,64,3000000,96.37
TreeBarrier,64,4000000,124.59
TreeBarrier,64,5000000,164.2
TreeBarrier,64,6000000,191.89
TreeBarrier,64,7000000,223.09
TreeBarrier,64,8000000,258.43
TreeBarrier,64,9000000,285.46
TreeBarrier,64,10000000,320.98
